Sym,Date,Open,High,Low,Close,Volume,Adj Close
GOOG,4/7/2010,567.3,568.75,561.86,563.54,2581000,563.54
GOOG,4/6/2010,569.46,570.89,565.4,568.22,2060100,568.22
GOOG,4/5/2010,570.9,574.88,569,571.01,1901500,571.01
GOOG,4/1/2010,571.35,573.45,565.55,568.8,2102700,568.8
GOOG,3/31/2010,565.05,569.74,562.81,567.12,3030800,567.12
GOOG,3/30/2010,562.83,567.63,560.28,566.71,1977900,566.71
GOOG,3/29/2010,563,564.72,560.57,562.45,3104500,562.45
GOOG,3/26/2010,565.27,567.39,560.02,562.69,2696200,562.69
GOOG,3/25/2010,559.02,572,558.66,562.88,3930900,562.88
GOOG,3/24/2010,545.51,559.85,539.7,557.33,6565200,557.33
GOOG,3/23/2010,557.04,558.31,542,549,5501300,549
GOOG,3/22/2010,556.11,566.85,554.28,557.5,4004800,557.5
GOOG,3/19/2010,566.23,568,557.28,560,4792400,560
GOOG,3/18/2010,564.72,568.44,562.96,566.4,1777200,566.4
GOOG,3/17/2010,568.3,571.45,564.25,565.56,3321600,565.56
GOOG,3/16/2010,561.83,568.42,560.76,565.2,3431500,565.2
GOOG,3/15/2010,566.68,569.45,556,563.18,4653900,563.18
GOOG,3/12/2010,588.14,588.28,579.16,579.54,2753400,579.54
GOOG,3/11/2010,574.26,586.21,574.2,581.14,4233300,581.14
GOOG,3/10/2010,563.76,578.5,562.21,576.45,5654900,576.45
GOOG,3/9/2010,559.85,564.66,556.5,560.19,3176600,560.19
GOOG,3/8/2010,564.78,565.18,561.01,562.48,2386400,562.48
GOOG,3/5/2010,561.35,567.67,559.9,564.21,3912200,564.21
GOOG,3/4/2010,546.5,556.13,546.2,554.59,3183800,554.59
GOOG,3/3/2010,542.36,548.12,539.25,545.32,3089400,545.32
GOOG,3/2/2010,535.48,545.66,535.01,541.06,4356800,541.06
GOOG,3/1/2010,529.2,533.29,527.74,532.69,2237900,532.69
GOOG,2/26/2010,527.42,531.75,523.48,526.8,2049300,526.8
GOOG,2/25/2010,527.12,528.49,520,526.43,3309200,526.43
GOOG,2/24/2010,533.98,538.44,530.51,531.47,2326600,531.47
GOOG,2/23/2010,543,543.63,532.29,535.07,2872600,535.07
GOOG,2/22/2010,547.35,547.5,541,542.8,2144600,542.8
GOOG,2/19/2010,540.53,544.03,539.7,540.76,2553100,540.76
GOOG,2/18/2010,537.54,545.01,536.14,543.22,2336900,543.22
GOOG,2/17/2010,542,543.4,537.61,538.21,2029700,538.21
GOOG,2/16/2010,536.87,544.13,534.3,541.3,3654400,541.3
GOOG,2/12/2010,532.97,537.15,530.5,533.12,2279700,533.12
GOOG,2/11/2010,533.32,540.49,529.5,536.4,2410000,536.4
GOOG,2/10/2010,534.07,537.79,527.69,534.45,2674500,534.45
GOOG,2/9/2010,539.54,541.53,535.07,536.44,2819600,536.44
GOOG,2/8/2010,532.5,542,531.53,533.47,2694300,533.47
GOOG,2/5/2010,528.4,533.5,522.46,531.29,3156000,531.29
GOOG,2/4/2010,537,538,525.56,526.78,3377700,526.78
GOOG,2/3/2010,528.67,542.1,528.23,540.82,2999100,540.82
GOOG,2/2/2010,534.96,534.96,527.61,531.12,4096200,531.12
GOOG,2/1/2010,534.6,535.81,530.3,533.02,2250800,533.02
GOOG,1/29/2010,538.49,540.99,525.61,529.94,4140500,529.94
GOOG,1/28/2010,544.49,547,530.6,534.29,3229100,534.29
GOOG,1/27/2010,541.27,547.65,535.31,542.1,3964400,542.1
GOOG,1/26/2010,537.97,549.6,536.29,542.42,4355500,542.42
GOOG,1/25/2010,546.59,549.88,535.51,540,4419900,540
GOOG,1/22/2010,564.5,570.6,534.86,550.01,6800400,550.01
GOOG,1/21/2010,583.44,586.82,572.25,582.98,6307700,582.98
GOOG,1/20/2010,585.98,585.98,575.29,580.41,3250700,580.41
GOOG,1/19/2010,581.2,590.42,576.29,587.62,4316700,587.62
GOOG,1/15/2010,593.34,593.56,578.04,580,5434500,580
GOOG,1/14/2010,583.9,594.2,582.81,589.85,4240100,589.85
GOOG,1/13/2010,576.49,588.38,573.9,587.09,6496600,587.09
GOOG,1/12/2010,597.65,598.16,588,590.48,4853300,590.48
